# K short	G0205
# scanned warm
# Wavelength (nm)	%T
1974	0.76869
1973	0.71372
1972	0.64683
1971	0.59779
1970	0.55211
1969	0.50766
1968	0.47027
1967	0.43808
1966	0.40428
1965	0.37063
1964	0.34198
1963	0.317
1962	0.29911
1961	0.27003
1960	0.2552
1959	0.23307
1958	0.21787
1957	0.20321
1956	0.18607
1955	0.17686
1954	0.16717
1953	0.15209
1952	0.13891
1951	0.1332
1950	0.12384
1949	0.11232
1948	0.10645
1947	0.097451
1946	0.093602
1945	0.086773
1944	0.07925
1943	0.070193
1942	0.069923
1941	0.074613
1940	0.063691
1939	0.060399
1938	0.052537
1937	0.05127
1936	0.046728
1935	0.043473
1934	0.037753
1933	0.044353
1932	0.040319
1931	0.034238
1930	0.03304
1929	0.033443
1928	0.030028
1927	0.024176
1926	0.030209
1925	0.026752
1924	0.025469
1923	0.028023
1922	0.025966
1921	0.026234
1920	0.019556
1919	0.024516
1918	0.02003
1917	0.023944
1916	0.024883
1915	0.023658
1914	0.026209
1913	0.025174
1912	0.020223
1911	0.024029
1910	0.022907
1909	0.023477
1908	0.017056
1907	0.020401
1906	0.020482
1905	0.01399
1904	0.017736
1903	0.012616
1902	0.017497
1901	0.016549
1900	0.014712
1899	0.015027
1898	0.013035
1897	0.015307
1896	0.013926
1895	0.01119
1894	0.0087602
1893	0.014376
1892	0.015834
1891	0.013874
1890	0.01471
1889	0.021888
1888	0.0069738
1887	0.012635
1886	0.011748
1885	0.016287
1884	0.012445
1883	0.021126
1882	0.012574
1881	0.014024
1880	0.012301
1879	0.018723
1878	0.013319
1877	0.018542
1876	0.012827
1875	0.012433
1874	0.013439
1873	0.018146
1872	0.010367
1871	0.011134
1870	0.010795
1869	0.019372
1868	0.01293
1867	0.018252
1866	0.012033
1865	0.013708
1864	0.0081561
1863	0.015242
1862	0.0054334
1861	0.014911
1860	0.012971
1859	0.012667
1858	0.014336
1857	0.0073677
1856	0.018257
1855	0.009042
1854	0.0092422
1853	0.011195
1852	0.011502
1851	0.011646
1850	0.0085934
1849	0.010895
1848	0.011054
1847	0.019297
1846	0.01457
1845	0.019896
1844	0.018334
1843	0.021646
1842	0.012814
1841	0.01468
1840	0.014918
1839	0.010982
1838	0.017596
1837	0.017365
1836	0.01463
1835	0.015114
1834	0.013149
1833	0.012023
1832	0.012088
1831	0.0083684
1830	0.016954
1829	0.014424
1828	0.015701
1827	0.012015
1826	0.01748
1825	0.010146
1824	0.0065544
1823	0.013603
1822	0.0094318
1821	0.014978
1820	0.006249
1819	0.015475
1818	0.012124
1817	0.014797
1816	0.010942
1815	0.015841
1814	0.0064205
1813	0.009828
1812	0.011196
1811	0.01298
1810	0.0070433
1809	0.016301
1808	0.012451
1807	0.013706
1806	0.014953
1805	0.015292
1804	0.015254
1803	0.014882
1802	0.0083597
1801	0.016581
1800	0.016137
1799	0.01535
1798	0.011115
1797	0.017495
1796	0.019561
1795	0.018308
1794	0.012279
1793	0.010142
1792	0.0091065
1791	0.013348
1790	0.0108
1789	0.017052
1788	0.0074621
1787	0.016224
1786	0.015781
1785	0.015352
1784	0.0082992
1783	0.012936
1782	0.013667
1781	0.016574
1780	0.012429
1779	0.014141
1778	0.014104
1777	0.016689
1776	0.013663
1775	0.012739
1774	0.016027
1773	0.015273
1772	0.013736
1771	0.014408
1770	0.011274
1769	0.012312
1768	0.014982
1767	0.013355
1766	0.016946
1765	0.018353
1764	0.014124
1763	0.012502
1762	0.013303
1761	0.011999
1760	0.0079289
1759	0.017949
1758	0.0087035
1757	0.011544
1756	0.014215
1755	0.015326
1754	0.017126
1753	0.0099628
1752	0.014468
1751	0.010816
1750	0.015692
1749	0.012046
1748	0.0094585
1747	0.011551
1746	0.012569
1745	0.012338
1744	0.010812
1743	0.012045
1742	0.01619
1741	0.010017
1740	0.017499
1739	0.011253
1738	0.0079396
1737	0.010443
1736	0.016166
1735	0.0067167
1734	0.013988
1733	0.010892
1732	0.013279
1731	0.01501
1730	0.0057688
1729	0.018032
1728	0.0098756
1727	0.013336
1726	0.01221
1725	0.014492
1724	0.014343
1723	0.0079502
1722	0.011183
1721	0.016263
1720	0.015825
1719	0.013823
1718	0.015016
1717	0.013319
1716	0.011241
1715	0.012568
1714	0.011704
1713	0.017415
1712	0.010925
1711	0.012958
1710	0.012091
1709	0.013405
1708	0.012296
1707	0.0062953
1706	0.014841
1705	0.015298
1704	0.011794
1703	0.014548
1702	0.013454
1701	0.0086611
1700	0.01109
1699	0.011316
1698	0.0095022
1697	0.015056
1696	0.011219
1695	0.018421
1694	0.012932
1693	0.013312
1692	0.012164
1691	0.0086062
1690	0.019186
1689	0.013366
1688	0.014178
1687	0.013405
1686	0.013288
1685	0.011266
1684	0.011149
1683	0.019649
1682	0.013774
1681	0.007366
1680	0.015778
1679	0.019207
1678	0.0179
1677	0.01548
1676	0.013758
1675	0.018796
1674	0.01588
1673	0.013357
1672	0.010412
1671	0.012892
1670	0.018823
1669	0.013373
1668	0.015015
1667	0.0094735
1666	0.0081271
1665	0.011806
1664	0.018447
1663	0.008356
1662	0.0078119
1661	0.013711
1660	0.011931
1659	0.0099816
1658	0.013764
1657	0.011244
1656	0.015839
1655	0.012529
1654	0.014555
1653	0.0078539
1652	0.013767
1651	0.016326
1650	0.012112
1649	0.013811
1648	0.015306
1647	0.013831
1646	0.01537
1645	0.013399
1644	0.018438
1643	0.015938
1642	0.015729
1641	0.01363
1640	0.0095661
1639	0.013133
1638	0.013359
1637	0.015457
1636	0.014076
1635	0.0092055
1634	0.013338
1633	0.011277
1632	0.013329
1631	0.018266
1630	0.010037
1629	0.014246
1628	0.012879
1627	0.017018
1626	0.013916
1625	0.012363
1624	0.01668
1623	0.011276
1622	0.010403
1621	0.011094
1620	0.013358
1619	0.014571
1618	0.014262
1617	0.01481
1616	0.0086671
1615	0.014144
1614	0.011657
1613	0.0096037
1612	0.010451
1611	0.019649
1610	0.010392
1609	0.012117
1608	0.018356
1607	0.010084
1606	0.016217
1605	0.013406
1604	0.01325
1603	0.016334
1602	0.0079143
1601	0.01043
1600	0.012228
1599	0.016435
1598	0.011168
1597	0.014184
1596	0.0096895
1595	0.014029
1594	0.014945
1593	0.012807
1592	0.011722
1591	0.0095721
1590	0.0086184
1589	0.011705
1588	0.011248
1587	0.013387
1586	0.013352
1585	0.011197
1584	0.016215
1583	0.011275
1582	0.013786
1581	0.013318
1580	0.010912
1579	0.019545
1578	0.013242
1577	0.020127
1576	0.012876
1575	0.014699
1574	0.015412
1573	0.012121
1572	0.007222
1571	0.012505
1570	0.01225
1569	0.014579
1568	0.009187
1567	0.013746
1566	0.016255
1565	0.014145
1564	0.017501
1563	0.0087995
1562	0.0078667
1561	0.017951
1560	0.011271
1559	0.015043
1558	0.012435
1557	0.010492
1556	0.010702
1555	0.013247
1554	0.014652
1553	0.015426
1552	0.012873
1551	0.015291
1550	0.0095651
1549	0.012496
